Data,À vista R$,À vista US$
28/06/1996,"80,43","80,1"
01/07/1996,"80,14","79,82"
02/07/1996,"80,14","79,74"
03/07/1996,"80,01","79,63"
04/07/1996,"79,94","79,59"
05/07/1996,"79,84","79,52"
08/07/1996,"79,83","79,5"
09/07/1996,"79,36","78,96"
10/07/1996,"79,14","78,72"
11/07/1996,"78,96","78,57"
12/07/1996,"78,92","78,52"
15/07/1996,"78,96","78,48"
16/07/1996,"78,82","78,34"
17/07/1996,"79,01","78,49"
18/07/1996,"78,59","78,03"
19/07/1996,"78,68","78,12"
22/07/1996,"78,58","78,01"
23/07/1996,"78,41","77,81"
24/07/1996,"78,14","77,48"
25/07/1996,"78,25","77,6"
26/07/1996,"78,26","77,53"
29/07/1996,"78,36","77,57"
30/07/1996,"78,26","77,47"
31/07/1996,"78,67","77,58"
01/08/1996,"78,28","77,52"
02/08/1996,"78,09","77,34"
05/08/1996,"77,76","77,01"
06/08/1996,"77,59","76,75"
07/08/1996,"77,8","76,95"
08/08/1996,"77,66","76,81"
09/08/1996,"77,65","76,77"
12/08/1996,"77,48","76,55"
13/08/1996,"77,7","76,75"
14/08/1996,"78,25","77,29"
15/08/1996,"78,15","77,18"
16/08/1996,"78,48","77,47"
19/08/1996,"78,54","77,51"
20/08/1996,"78,51","77,41"
21/08/1996,"78,84","77,69"
22/08/1996,"79,17","78,03"
23/08/1996,"79,3","78,12"
26/08/1996,"79,44","78,26"
27/08/1996,"79,79","78,58"
28/08/1996,"79,78","78,54"
29/08/1996,"80,03","78,77"
30/08/1996,"80,12","78,82"
02/09/1996,"80,02","78,76"
03/09/1996,"80,26","78,92"
04/09/1996,"80,68","79,37"
05/09/1996,"80,84","79,45"
06/09/1996,"80,71","79,27"
09/09/1996,"80,6","79,1"
10/09/1996,"80,8","79,33"
11/09/1996,"81,09","79,62"
12/09/1996,"81,33","79,71"
13/09/1996,"81,34","79,85"
16/09/1996,"81,72","80,23"
17/09/1996,"82,14","80,6"
18/09/1996,"82,76","81,21"
19/09/1996,"83,24","81,69"
20/09/1996,"83,66","82,06"
23/09/1996,"83,68","82,07"
24/09/1996,"84,28","82,66"
25/09/1996,"84,79","83,1"
26/09/1996,"84,78","83,1"
27/09/1996,"85,18","83,46"
30/09/1996,"85,26","83,5"
01/10/1996,"85,39","83,62"
02/10/1996,"85,6","83,83"
04/10/1996,"85,78","83,92"
07/10/1996,"85,59","83,74"
08/10/1996,"86,05","84,16"
09/10/1996,"86,2","84,21"
10/10/1996,"85,99","83,96"
11/10/1996,"86,1",84
14/10/1996,"86,22","84,15"
15/10/1996,"86,41","84,33"
16/10/1996,"86,49","84,41"
17/10/1996,"86,18","84,11"
18/10/1996,"86,4","84,33"
21/10/1996,"86,6","84,52"
22/10/1996,"86,53","84,19"
23/10/1996,"86,52","84,33"
24/10/1996,"86,59","84,42"
25/10/1996,"86,4","84,1"
28/10/1996,"86,71","84,23"
29/10/1996,"86,6","84,27"
30/10/1996,"86,86","84,56"
31/10/1996,"86,96","84,58"
01/11/1996,"86,88","84,55"
04/11/1996,"86,8","84,46"
05/11/1996,"86,77","84,43"
06/11/1996,87,"84,67"
07/11/1996,"87,14","84,71"
08/11/1996,"87,2","84,67"
11/11/1996,"87,01","84,51"
12/11/1996,"86,96","84,41"
13/11/1996,"87,25","84,68"
14/11/1996,"87,42","84,83"
18/11/1996,"87,36","84,78"
19/11/1996,"87,55",85
20/11/1996,"87,73","85,13"
21/11/1996,"87,68","85,06"
22/11/1996,"87,38","84,78"
25/11/1996,"87,66","85,03"
